"id_bibrec","status","docname"
16113,"status:PA16JU","PAL_E1329"
16112,"status:PA16JU","PAL_E1288"
16111,"status:PA16JU","PAL_E1279"
16110,"status:PA16JU","PAL_E1235"
16109,"status:PA16JU","PAL_E1199"
16108,"status:PA16JU","PAL_E1053"
16107,"status:PA16JU","PAL_E1011"
16106,"status:PA16JU","PAL_E996"
16105,"status:PA16JU","PAL_E961"
16104,"status:PA16JU","PAL_E960"
16102,"status:PA16JU","PAL_E958"
16101,"status:PA16JU","PAL_E3770"
16100,"status:PA16JU","PAL_E3895"
16099,"status:PA16JU","PAL_E3892"
16098,"status:PA16JU","PAL_E3889"
16097,"status:PA16JU","PAL_E3886"
16096,"status:PA16JU","PAL_E3885"
16095,"status:PA16JU","PAL_E3884"
16094,"status:PA16JU","PAL_E3883"
16093,"status:PA16JU","PAL_E3882"
16092,"status:PA16JU","PAL_E3881"
16091,"status:PA16JU","PAL_E3819"
16090,"status:PA16JU","PAL_E3801"
16089,"status:PA16JU","PAL_E3880"
16088,"status:PA16JU","PAL_E3879"
16087,"status:PA16JU","PAL_E3878"
16086,"status:PA16JU","PAL_E3877"
16085,"status:PA16JU","PAL_E3876"
16084,"status:PA16JU","PAL_E3875"
16083,"status:PA16JU","PAL_E3874"
16082,"status:PA16JU","PAL_E3873"
16081,"status:PA16JU","PAL_E3872"
16080,"status:PA16JU","PAL_E3871"
16079,"status:PA16JU","PAL_E3870"
16078,"status:PA16JU","PAL_E3869"
16077,"status:PA16JU","PAL_E3868"
16076,"status:PA16JU","PAL_E3866"
16075,"status:PA16JU","PAL_E3867"
